MJD,mag,dmag
60298.03306,15.077,0.035
60300.05622,14.565,0.022
60302.04169,14.612,0.025
60303.82417,14.578,0.042
60305.05748,14.516,0.035
60308.0693,14.596,0.02
60309.06161,14.543,0.02
60310.0579,14.523,0.02
60311.06165,14.59,0.021
60312.79753,14.721,0.025
60315.03194,14.776,0.03
60315.78599,14.728,0.028
60317.03953,14.88,0.026
60319.78192,14.818,0.04
60311.80545,14.593,0.009
60311.8085,14.572,0.009
60311.816509,14.578,0.008
60311.836846,14.614,0.009
60302.062739,14.704,0.008
60302.070555,14.677,0.009
60302.073728,14.669,0.008
60302.085704,14.48,0.009
60302.81235,14.629,0.009
60302.815567,14.641,0.009
60302.835967,14.619,0.012
60302.84259,14.635,0.013
60306.817425,14.604,0.009
60306.837636,14.59,0.012
60306.865117,14.568,0.02
60327.82087,14.575,0.009
60327.824126,14.613,0.01
60327.829335,14.557,0.011
60291.81417,19.13,
